0.000,200.000
0.005,200.000
0.010,200.000
0.015,200.000
0.020,199.000
0.025,199.000
0.030,99.000
0.035,39.000
0.040,39.000
0.045,39.000
0.050,21.222
0.055,39.000
0.060,32.333
0.065,21.222
0.070,13.286
0.075,13.286
0.080,10.765
0.085,8.524
0.090,7.000
0.095,10.765
0.100,7.696
0.105,6.407
0.110,5.250
0.115,5.061
0.120,4.405
0.125,4.000
0.130,3.545
0.135,4.128
0.140,3.167
0.145,2.226
0.150,3.545
0.155,2.448
0.160,2.175
0.165,1.740
0.170,1.532
0.175,1.151
0.180,1.353
0.185,1.198
0.190,1.247
0.195,1.410
0.200,0.923
0.205,0.802
0.210,0.613
0.215,0.653
0.220,0.852
0.225,0.739
0.230,0.575
0.235,0.667
0.240,0.429
0.245,0.399
0.250,0.449
0.255,0.449
0.260,0.429
0.265,0.351
0.270,0.212
0.275,0.282
0.280,0.342
0.285,0.235
0.290,0.282
0.295,0.205
0.300,0.190
0.305,0.198
0.310,0.212
0.315,0.156
0.320,0.149
0.325,0.130
0.330,0.156
0.335,0.081
0.340,0.136
0.345,0.093
0.350,0.093
0.355,0.176
0.360,0.093
0.365,0.087
0.370,0.053
0.375,0.099
0.380,0.081
0.385,0.047
0.390,0.047
0.395,0.031
0.400,0.042
0.405,0.042
0.410,0.042
0.415,0.058
0.420,0.064
0.425,0.058
0.430,0.036
0.435,0.053
0.440,0.031
0.445,0.036
0.450,0.064
0.455,0.026
0.460,0.047
0.465,0.015
0.470,0.020
0.475,0.031
0.480,0.026
0.485,0.036
0.490,0.026
0.495,0.036
0.500,0.026
0.505,0.020
0.510,0.010
0.515,0.031
0.520,0.026
0.525,0.010
0.530,0.015
0.535,0.026
0.540,0.015
0.545,0.026
0.550,0.015
0.555,0.000
0.560,0.010
0.565,0.015
0.570,0.005
0.575,0.026
0.580,0.010
0.585,0.005
0.590,0.005
0.595,0.026
0.600,0.000
0.605,0.005
0.610,0.005
0.615,0.005
0.620,0.005
0.625,0.010
0.630,0.005
0.635,0.005
0.640,0.005
0.645,0.000
0.650,0.000
0.655,0.005
0.660,0.000
0.665,0.000
0.670,0.005
0.675,0.005
0.680,0.005
0.685,0.005
0.690,0.000
0.695,0.000
0.700,0.005
0.705,0.000
0.710,0.005
0.715,0.000
0.720,0.000
0.725,0.000
0.730,0.000
0.735,0.000
0.740,0.000
0.745,0.000
0.750,0.000
0.755,0.000
0.760,0.000
0.765,0.005
0.770,0.000
0.775,0.000
0.780,0.000
0.785,0.010
0.790,0.000
0.795,0.000
0.800,0.000
0.805,0.000
0.810,0.000
0.815,0.005
0.820,0.000
0.825,0.000
0.830,0.000
0.835,0.000
0.840,0.000
0.845,0.000
0.850,0.000
0.855,0.000
0.860,0.000
0.865,0.000
0.870,0.000
0.875,0.000
0.880,0.000
0.885,0.000
0.890,0.000
0.895,0.000
0.900,0.000
0.905,0.000
0.910,0.000
0.915,0.000
0.920,0.000
0.925,0.000
0.930,0.000
0.935,0.000
0.940,0.000
0.945,0.000
0.950,0.000
0.955,0.000
0.960,0.000
0.965,0.000
0.970,0.000
0.975,0.000
0.980,0.000
0.985,0.000
0.990,0.000
0.995,0.000
